sample_index,child_age_months,child_sex,mother_age,mother_education_level,mother_years_education,mother_currently_working,marital_status,religion,wealth_quintile,urban_rural,county,drinking_water_source,toilet_facility,has_electricity,cooking_fuel,household_members
340,37.0,0,34.0,1,0,0,2,4,0,1,45,2,10,1,10,11.0
290,54.0,1,39.0,1,0,0,2,4,2,0,39,9,8,0,10,9.0
54,50.0,0,26.0,2,17,1,2,5,2,0,30,10,10,0,10,6.0
198,39.0,1,19.0,2,18,1,2,2,1,0,38,8,11,1,10,5.0
453,42.0,0,36.0,3,19,0,2,1,1,0,37,12,11,0,10,6.0
65,42.0,1,39.0,1,0,0,2,4,2,1,39,10,8,0,10,10.0
63,36.0,1,24.0,1,0,0,2,1,2,0,36,10,8,0,10,4.0
145,37.0,0,25.0,0,8,0,1,8,4,1,33,9,4,1,6,6.0
292,39.0,1,35.0,3,4,1,3,1,3,1,30,8,10,1,3,4.0
390,54.0,1,43.0,3,4,0,1,2,3,0,41,7,10,1,10,7.0
706,43.0,1,25.0,1,0,0,2,4,2,0,23,12,8,0,10,6.0
448,45.0,1,43.0,1,0,1,2,4,2,0,45,12,8,0,10,7.0
39,44.0,0,29.0,0,7,1,2,8,4,0,2,6,12,1,6,4.0
101,44.0,0,39.0,1,0,1,2,4,2,0,45,12,12,0,10,11.0
430,57.0,0,33.0,2,17,0,2,8,4,1,14,5,10,1,10,5.0
328,49.0,0,22.0,2,18,1,2,8,4,1,34,7,4,1,6,3.0
86,50.0,1,21.0,1,0,0,2,4,2,0,23,10,10,0,10,4.0
627,52.0,0,39.0,2,15,0,2,1,2,0,46,10,11,0,10,8.0
259,39.0,1,31.0,1,0,0,2,4,2,0,6,8,8,0,10,8.0
213,54.0,0,33.0,2,18,1,2,1,0,0,1,7,10,1,10,9.0
446,56.0,1,37.0,2,17,0,2,8,3,1,29,5,2,1,5,4.0
367,51.0,0,38.0,2,16,0,2,1,4,1,32,0,12,1,3,5.0
33,47.0,1,29.0,1,0,1,2,1,2,0,42,8,8,0,10,5.0
686,38.0,0,32.0,1,0,1,2,4,3,1,6,5,2,1,10,11.0
478,55.0,0,28.0,1,0,0,2,4,3,1,39,5,10,1,10,6.0
323,52.0,1,37.0,3,2,1,3,8,4,0,5,9,10,1,6,5.0
254,39.0,0,23.0,3,4,1,3,8,1,0,32,8,10,1,3,3.0
210,47.0,1,31.0,0,6,1,2,2,4,1,29,0,2,1,6,6.0
120,49.0,1,36.0,1,0,0,2,4,3,1,6,8,10,1,10,8.0
133,37.0,1,25.0,1,0,0,2,2,2,0,32,6,8,0,9,7.0
417,50.0,1,32.0,1,0,0,2,4,2,1,39,7,10,0,10,7.0
363,41.0,1,23.0,3,4,1,2,1,2,0,4,10,12,0,10,5.0
336,46.0,0,39.0,1,0,0,1,2,2,0,42,14,8,0,10,5.0
375,59.0,0,26.0,1,0,0,2,4,2,0,45,14,8,0,10,6.0
571,58.0,1,28.0,3,4,1,2,2,3,1,27,4,12,1,6,5.0
636,57.0,0,44.0,2,18,1,2,8,3,0,19,5,12,1,10,4.0
716,36.0,0,30.0,1,0,0,2,4,0,0,8,5,10,0,3,11.0
569,36.0,0,36.0,1,0,0,2,0,2,0,46,8,11,0,10,8.0
583,37.0,0,25.0,3,3,0,2,8,2,0,44,6,11,0,10,5.0
493,54.0,1,29.0,2,18,1,2,2,0,0,33,10,10,1,10,4.0
300,42.0,1,24.0,2,17,1,2,1,0,0,11,7,10,1,10,3.0
135,57.0,1,26.0,1,0,0,2,9,2,0,8,12,8,0,10,6.0
49,42.0,1,30.0,1,0,0,2,4,1,1,45,7,0,0,10,15.0
712,49.0,0,40.0,1,0,0,2,4,2,0,23,10,10,0,10,11.0
416,45.0,0,35.0,1,0,1,2,1,1,0,42,8,10,0,10,8.0
72,40.0,1,45.0,2,18,0,2,2,0,0,0,7,12,1,10,6.0
342,53.0,0,31.0,1,0,0,2,4,2,0,18,14,11,0,10,11.0
597,54.0,1,37.0,1,0,0,2,4,2,1,39,10,8,0,3,12.0
651,55.0,1,26.0,3,4,1,2,8,3,0,22,5,10,1,6,7.0
77,50.0,1,32.0,3,4,1,5,2,4,1,17,0,4,1,4,4.0
522,39.0,1,34.0,2,17,0,2,2,1,0,11,14,11,1,10,5.0
672,57.0,1,33.0,0,7,1,2,2,4,1,29,0,2,1,6,3.0
437,51.0,0,32.0,3,4,0,2,4,0,0,18,5,10,0,3,6.0
591,39.0,0,31.0,2,17,1,4,8,1,1,10,4,10,0,3,3.0
131,48.0,0,30.0,1,0,1,2,4,2,0,18,8,8,0,10,6.0
352,52.0,1,24.0,2,18,0,3,5,1,1,36,2,10,0,3,5.0
211,59.0,0,31.0,1,0,0,2,4,2,0,6,14,10,0,10,4.0
215,58.0,1,38.0,2,1,1,5,1,2,0,20,8,11,0,10,9.0
84,50.0,1,34.0,1,0,0,2,4,0,1,45,7,0,1,10,10.0
329,56.0,0,30.0,1,0,0,2,4,3,0,39,10,10,1,3,10.0
532,46.0,0,38.0,2,17,1,2,8,0,0,16,7,10,1,10,9.0
10,36.0,0,34.0,1,0,1,2,8,2,0,42,14,8,0,10,6.0
78,40.0,0,20.0,2,18,0,2,8,2,0,8,10,8,0,10,3.0
393,57.0,1,37.0,3,4,0,2,8,1,0,15,6,11,1,10,5.0
250,58.0,0,41.0,2,15,1,2,4,4,1,20,3,3,1,3,6.0
97,55.0,1,26.0,3,4,0,3,1,1,1,24,5,10,0,10,5.0
654,47.0,1,36.0,1,0,0,2,4,1,1,8,4,10,0,10,6.0
155,50.0,0,44.0,2,18,1,2,8,3,1,38,10,10,1,10,6.0
527,53.0,0,47.0,1,0,0,2,4,2,0,23,1,11,0,10,15.0
596,39.0,1,35.0,1,0,0,2,4,2,0,6,14,10,0,10,8.0
668,44.0,1,42.0,2,16,1,2,8,2,0,0,10,8,0,10,6.0
408,49.0,1,24.0,0,7,0,2,8,4,1,41,3,4,1,6,4.0
81,45.0,1,24.0,2,17,1,2,8,2,0,32,9,8,0,10,4.0
382,54.0,0,35.0,1,0,0,2,4,1,0,24,10,10,0,10,8.0
148,56.0,0,39.0,1,0,0,2,8,1,0,10,7,11,0,10,5.0
536,38.0,0,33.0,2,17,1,2,2,0,1,19,10,11,0,3,6.0
581,59.0,1,33.0,0,5,1,3,2,4,1,27,2,4,1,3,12.0
344,39.0,0,34.0,2,18,1,2,8,1,0,3,13,11,0,10,5.0
714,36.0,0,26.0,3,4,0,2,2,3,0,9,12,12,1,6,3.0
248,39.0,1,24.0,1,0,0,2,4,2,0,45,6,11,0,10,5.0
533,48.0,1,34.0,0,7,1,2,2,4,1,11,5,12,1,6,5.0
306,43.0,1,22.0,3,3,0,1,1,0,0,28,13,10,0,10,4.0
192,57.0,0,26.0,3,2,0,2,1,3,1,26,9,11,1,6,3.0
299,50.0,1,25.0,1,0,0,2,4,2,0,23,10,8,0,10,5.0
31,43.0,0,31.0,3,2,1,2,2,4,1,38,3,5,1,3,4.0
503,42.0,0,32.0,2,16,0,2,5,1,0,32,9,10,0,10,7.0
549,36.0,0,39.0,2,18,0,2,1,3,0,28,4,10,1,10,6.0
231,43.0,0,26.0,3,4,1,2,2,3,1,16,4,10,1,6,4.0
457,36.0,1,28.0,2,14,0,2,8,1,0,3,13,11,0,10,10.0
660,46.0,0,37.0,2,14,0,2,2,2,0,15,13,11,0,10,8.0
234,58.0,0,36.0,0,7,1,2,8,0,0,2,12,11,0,3,4.0
55,44.0,1,21.0,3,4,0,2,8,3,1,29,8,2,1,6,6.0
209,45.0,1,37.0,3,3,1,4,1,2,0,33,6,11,0,10,12.0
338,55.0,1,26.0,2,14,0,2,4,4,1,3,3,4,1,6,7.0
174,47.0,0,47.0,2,18,1,2,0,1,0,22,6,11,0,10,5.0
350,50.0,1,45.0,0,7,1,2,8,4,0,14,5,10,1,10,3.0
76,40.0,1,26.0,1,0,0,2,4,2,0,23,10,10,0,10,5.0
2,54.0,0,38.0,2,18,1,2,2,3,0,3,7,10,1,10,3.0
548,36.0,1,33.0,1,0,0,0,4,2,1,23,11,10,0,10,7.0
109,40.0,0,38.0,0,9,1,2,8,4,1,14,3,4,1,6,5.0
291,48.0,0,32.0,1,0,0,2,4,2,0,45,8,8,0,10,5.0
715,56.0,0,38.0,1,0,0,5,4,2,0,39,10,8,0,10,5.0
311,42.0,0,37.0,1,0,0,2,2,2,0,9,10,8,0,10,10.0
351,38.0,0,36.0,1,0,0,5,4,2,0,6,8,10,0,10,4.0
208,58.0,1,32.0,3,2,0,2,2,4,1,41,6,4,1,3,7.0
357,59.0,1,27.0,1,0,0,2,8,2,0,9,10,8,0,10,7.0
181,36.0,0,20.0,1,0,0,2,4,2,0,6,11,8,0,10,5.0
235,49.0,1,25.0,2,18,0,2,4,3,1,24,8,12,1,3,4.0
227,55.0,0,27.0,3,4,0,1,1,3,1,27,2,10,1,6,4.0
657,47.0,0,42.0,2,18,1,4,8,2,0,14,10,10,0,10,5.0
118,42.0,1,21.0,2,18,0,3,1,0,0,3,8,11,1,10,8.0
450,38.0,0,35.0,2,15,0,2,4,2,0,39,12,11,0,10,9.0
623,38.0,0,42.0,2,18,1,2,7,3,1,27,11,10,1,3,5.0
90,50.0,1,23.0,2,18,0,2,0,1,0,37,10,11,0,10,4.0
514,42.0,0,22.0,2,16,0,1,1,3,1,9,12,12,1,3,3.0
327,38.0,0,25.0,2,17,1,4,1,2,0,25,4,11,0,10,6.0
377,46.0,0,33.0,2,17,0,2,8,3,1,16,4,10,1,5,4.0
60,50.0,1,36.0,2,17,1,2,4,2,0,39,12,8,1,10,3.0
579,49.0,0,40.0,2,18,0,1,2,1,0,31,10,10,0,10,7.0
30,56.0,1,32.0,1,0,0,2,4,1,0,6,14,10,1,10,7.0
69,59.0,0,40.0,1,0,0,2,1,2,0,46,10,8,0,10,11.0
398,48.0,0,25.0,1,0,1,2,2,2,0,9,10,8,0,10,5.0
622,52.0,1,31.0,3,2,1,1,8,3,1,12,12,10,1,10,5.0
