sample_index,child_age_months,child_sex,mother_age,mother_education_level,mother_years_education,mother_currently_working,marital_status,religion,wealth_quintile,urban_rural,county,drinking_water_source,toilet_facility,has_electricity,cooking_fuel,household_members,predicted_probability,actual_label
340,-0.449484,-0.25066707,0.12605743,0.14746366,0.4705177,0.027911212,0.0035313605,0.03584348,0.3652833,-0.03697588,-0.6638134,-0.0529262,-0.13025212,0.030235248,0.071679115,0.022090293,0.430671,0
290,0.3916233,0.11175543,-0.05663812,0.14658298,0.83844525,0.0797298,0.00018808432,0.011112548,0.29254392,0.0061155166,0.606005,0.058446042,0.16064058,0.028806062,0.018672016,0.16515917,0.9460164,1
54,0.551863,-0.12350567,0.10599899,-0.010629648,-0.07602581,-0.037226163,0.008460739,-0.10126959,0.36883977,-0.0024041173,-0.28558126,0.12708223,-0.13673271,0.041532055,0.023854475,-0.002736637,0.61204374,1
198,-0.6196413,0.104120895,-0.05484136,0.013773545,-0.28053012,-0.090478696,-0.00063259806,-0.06646117,0.07584993,0.0012129634,0.3463693,0.0019863183,0.053304408,-0.018504988,0.0008501869,-0.03877285,0.36169767,0
453,0.16992354,-0.15098332,-0.20833844,-0.062033713,-0.05622766,0.09432004,-0.0025346368,0.15088743,0.10274669,0.011082601,0.25568205,-0.060166158,-0.052240293,0.073286265,0.002974815,0.018176228,0.57222813,1
65,0.010498026,0.18612647,-0.17069039,0.06797144,0.61588854,0.11406736,0.00037619984,-0.008514243,0.23028216,-0.06406571,0.59224623,0.16599004,0.17820594,0.021717604,0.019556308,0.17171676,0.894331,1
63,-0.15577453,0.08718125,-0.081706375,0.11438066,0.5556122,0.10723262,-0.0003062375,0.009606015,0.22357035,0.015631214,0.37882286,0.20321234,0.10227521,0.05269513,4.8656162e-05,-0.07427069,0.8238428,1
145,0.046112273,-0.13474827,0.088905096,-0.2365594,-0.2959022,0.04211604,-0.14525595,0.090601236,-0.5366482,0.014158476,0.024582474,0.12861377,0.1328498,-0.07094382,-0.012137442,-0.026523177,0.291856,0
292,-0.38083047,0.12423854,-0.19740015,-0.10763713,-0.69495744,-0.050790306,0.0059003583,0.042675972,-0.49507114,-0.023578929,-0.69822824,-0.010175348,-0.09710869,-0.0415686,-0.024518646,-0.06262899,0.062544756,1
390,0.04646353,0.19731528,-0.021701502,-0.15233809,-0.6384836,0.057222765,-0.11405139,-0.0070466064,-0.4236353,0.009396467,0.09649694,-0.1079593,-0.0904504,-0.06822427,-0.0005281155,0.059960682,0.2399105,0
706,0.1025691,0.102367796,0.02634362,0.016005808,0.5598742,0.089036815,0.005814769,0.025972672,0.287248,0.017330147,0.5383552,-0.018315963,0.0841151,0.0046323403,0.054022785,-0.02992971,0.8664391,0
448,-0.13188358,0.17151403,-0.07911311,0.07975617,0.52455705,-0.083122574,-0.007334661,-0.013316808,0.26651055,0.020661702,-0.41962457,-0.0877196,0.13643424,0.036631692,0.023653219,0.047890004,0.6200796,1
39,0.23771825,-0.05552863,-0.040901132,-0.21976066,-0.5015874,-0.09886327,0.013452262,-0.009328009,-0.5242254,-0.0074995365,0.3586859,0.0327161,-0.14308898,-0.054675467,-0.07484528,-0.0283838,0.24754982,1
101,0.0034942064,-0.22723137,-0.1453721,0.08944707,0.5546298,-0.059557676,-0.009256212,-0.036515888,0.20649019,0.016079137,-0.6872611,-0.16697986,-0.189937,0.031980306,0.029114403,-0.112364836,0.33206743,0
430,-0.3175719,-0.10299089,0.100729585,-0.047283903,-0.17415203,0.04408135,0.011383353,-0.043453865,-0.6057742,0.013974636,-0.2507154,-0.08305511,-0.11620351,-0.123546146,-0.0023589146,0.02508269,0.1587628,0
328,0.4442103,-0.08003108,-0.08722688,0.02100422,-0.27078778,-0.0823193,0.006068352,-0.03822464,-0.5610531,0.031632677,0.15314072,-0.06897967,0.022377878,-0.03624072,-0.05269564,-0.020286016,0.3509153,1
86,0.55773705,0.06306265,-0.040093116,0.11065136,0.7324489,0.09143046,-0.0048883855,0.04922978,0.25797933,0.001067371,0.56236184,0.15041152,-0.1125508,-0.0013582938,0.057081167,-0.09527207,0.9155751,1
627,0.4173222,-0.20779005,-0.10898916,-0.022091486,0.13895388,0.030815426,0.0036727698,0.104655966,0.2941119,-0.0023423415,-0.47195426,0.07095703,-0.17390618,0.0447262,0.0016121282,-0.002136536,0.53046465,1
259,-0.45313722,0.12177605,0.059189748,0.10408221,0.5121284,0.10163389,-0.00027190289,0.019174334,0.15451781,0.003899037,-0.32798767,-0.07413436,0.051398788,-0.004257089,0.025590876,0.0801853,0.59343415,1
213,0.034480814,-0.15107982,0.07756494,-0.0068179388,-0.17206386,-0.07630582,0.004559052,0.11634893,0.22622412,0.013753577,-0.060049128,-0.08687705,-0.12773532,-0.024497692,0.005995039,0.16792832,0.48645845,0
446,-0.18799615,0.09840882,-0.2055958,0.01948107,-0.16019055,0.009439324,0.011636834,-0.057987697,-0.39517513,0.009950049,-0.5848439,-0.124802545,0.17641114,-0.10873617,-0.060548853,-0.11386748,0.15842094,1
367,0.5838336,-0.17243397,0.15642698,0.021548878,0.17172539,0.036244426,0.009505174,0.15196861,-0.8185703,-0.042719074,-0.25000665,-0.014834378,-0.044959657,-0.06528957,0.078509815,0.0054712086,0.45284376,1
33,-0.023686865,0.10348425,-0.03613431,0.13257204,0.62496465,-0.114645995,-0.0012012711,0.072960906,0.3082487,0.0005179533,0.3314336,-0.00042480417,0.13982393,0.023087552,0.010611668,-0.018299296,0.8260238,0
686,-0.27559936,-0.14450274,0.052167263,0.09723055,0.5365432,-0.11708354,0.0013645528,0.04317573,-0.29784936,-0.011069257,-0.16905844,-0.082514785,0.24930419,0.011600304,0.06784595,0.0017283745,0.49191946,1
478,0.20701587,-0.10895873,0.012342356,0.15190198,0.93340784,0.08241395,0.006499761,0.04326837,-0.49718624,-0.018815778,0.48094627,-0.15041332,-0.14993386,-0.0048003537,0.027726293,0.026575074,0.7400797,1
323,0.20696619,0.10439042,-0.10726874,-0.03667641,-0.21091254,-0.10833111,0.01350436,-0.0004734256,-0.47806066,-0.004699289,-0.120273694,0.088025466,-0.09031814,-0.035043925,-0.11415567,-0.04588448,0.28194803,0
254,-0.4758873,-0.072958484,-0.12732305,-0.13401516,-0.58320713,-0.085348256,0.034554757,-0.08716605,0.09452776,0.0048831184,-0.3322792,-0.019049907,-0.17783305,-0.040366717,-0.025736907,-0.06306929,0.110476546,0
210,-0.0028324982,0.12027097,0.02236351,-0.16975418,-0.48260492,-0.025892345,0.015880767,-0.075716734,-0.7264362,-0.027387256,-0.5836392,-0.015752334,0.08740316,-0.045150153,-0.06738133,0.009485877,0.1231697,0
120,0.368784,0.1262045,-0.14144795,0.10843919,0.68002576,0.11768233,-0.0013194773,0.036212496,-0.36561322,-0.007462255,-0.46138805,-0.079016164,-0.08553904,-0.0010192127,0.07021893,0.17319551,0.6323589,0
133,-0.6578815,0.14045154,-0.010187712,0.1510305,0.48434544,0.057509966,0.00740539,-0.06539555,0.16929856,0.0009788652,-0.2918605,-0.044766862,0.07124726,0.01576484,0.046931498,0.060933303,0.5349919,1
417,0.6298144,0.1286845,0.000988977,0.16549204,0.7135523,0.09601609,-0.0022200542,0.0038800081,0.26008052,0.0043743346,0.5665414,-0.1925472,-0.12499319,0.012572727,0.01477612,0.10846722,0.9160517,1
363,-0.63164663,0.07467643,-0.14432894,-0.053034686,-0.48136395,-0.18206593,-0.0005276315,0.044531573,0.19623068,-0.003096023,-0.008611289,0.10282679,-0.08844006,0.05927638,0.031808786,-0.049416877,0.24438457,0
336,-0.03359878,-0.14048165,-0.068341926,0.13839851,0.69080085,0.051862914,-0.13863866,-0.015731508,0.3338723,0.011346805,0.22381535,0.07552319,0.16616026,0.058067087,0.016718904,-0.001921288,0.7977426,1
375,-0.049998168,-0.10164729,0.12558766,0.16897869,0.8073684,0.051096816,0.011743916,0.019194696,0.29497463,-0.00047384936,-0.4378217,-0.053337704,0.22926302,0.055895466,0.01137376,0.037673574,0.763915,0
571,-0.36811602,0.101365596,0.03893952,-0.12076959,-0.7312086,-0.07083469,0.01525141,0.0032787072,-0.42972982,-0.014149046,-0.3376176,-0.050069068,-0.10286436,-0.07279348,-0.0719258,-0.026816094,0.09676769,0
636,-0.33645633,-0.09677768,-0.027697314,-0.022728166,-0.2734564,-0.046662055,0.004313046,-0.10309939,-0.3094653,-0.002399214,-0.09701256,-0.13096236,-0.1232944,-0.14634798,0.009963047,-0.0950173,0.14274104,0
716,0.10887294,-0.1778393,0.056115728,0.13270947,0.47729743,0.08755221,0.00056819466,0.017761828,0.28765896,0.013101016,0.057085507,-0.027254455,-0.074731134,0.04926223,-0.08248432,0.14278571,0.7451394,1
569,-0.020260835,-0.20961608,-0.0869002,0.18077795,0.5111394,0.05793721,0.00015584799,0.040338285,0.17555785,0.012670756,-0.4351868,0.048277423,-0.057195913,0.06853178,0.048749328,0.0520847,0.5966324,1
583,-0.3826076,-0.12441395,0.054105654,-0.090101495,-0.12750776,0.036139615,0.0058765174,0.05405309,0.22162378,-0.020379195,-0.44891936,0.10832286,-0.042743117,0.07679916,0.04166983,-0.038070332,0.33810288,1
493,0.02163289,0.12072276,-0.07446603,-0.017248409,-0.29771605,-0.06641514,0.0059325825,-0.08577507,0.10901072,0.018884704,-0.0036179768,0.12484451,-0.089999355,-0.034576006,-0.010041392,-0.09056874,0.40974876,0
300,0.31147155,0.112512305,-0.11372246,0.010122744,0.040465865,-0.12949371,0.004779379,0.15020636,0.2274888,0.0019269672,0.20572497,-0.08774308,-0.11151432,-0.02740558,0.023696838,-0.18811859,0.60701686,1
135,0.36308542,0.061408617,0.053040292,0.18092018,0.80521727,0.09339968,0.0035153634,-0.0022134534,0.30327758,0.012934417,-0.03342831,-0.041449104,0.05969479,0.057674114,0.031613454,0.008576017,0.8767123,1
49,0.05265502,0.23409176,0.025869627,0.09573215,0.5710221,0.06384263,0.007587566,0.033912748,0.18168592,-0.027066976,-0.37448403,-0.07065217,0.29857752,0.01618931,0.038682744,-0.07599222,0.745745,0
712,0.41149208,-0.14085208,-0.04140369,0.14684843,0.6339526,0.04110205,0.00087027904,0.028500106,0.22697932,0.013670694,0.60952103,0.105267935,-0.089377746,0.009474738,0.055616703,-0.07949904,0.8739733,1
