feature,importance_mean,importance_std
mother_years_education,0.0570360794906425,0.01307017067952299
child_age_months,0.02769284198340728,0.007384594237781623
county,0.02678911827127145,0.007164339934340613
wealth_quintile,0.018808412116534844,0.0058169949139581
toilet_facility,0.007273779664287083,0.0024316516253921035
mother_currently_working,0.005496816515531533,0.001437209140192761
mother_education_level,0.00472120393594444,0.002072486088541408
drinking_water_source,0.004693420798765191,0.0019288272781998884
has_electricity,0.0022585375265290588,0.0012362764374485174
child_sex,0.0019139494501253962,0.002912684664199114
religion,0.0010681072737796949,0.00179206552582912
household_members,0.0010260466911055422,0.0020414124297370335
cooking_fuel,0.0010067528458421516,0.001085093061903799
marital_status,0.000290565309666202,0.0005698555354554618
urban_rural,-0.0005236349604476387,0.000441541830311526
mother_age,-0.0008412116534825764,0.0018792680693525074
