feature,importance_mean,importance_std
mother_years_education,0.0507744549488713,0.012651699528053376
county,0.026529037237121345,0.006089529787310932
child_age_months,0.02258074474242715,0.007022916593210852
wealth_quintile,0.015916650588462276,0.005939562128227251
toilet_facility,0.007809376808797963,0.001914209899315557
mother_currently_working,0.005513409222457999,0.0009438722635417176
drinking_water_source,0.004608142002701143,0.002117187268354699
mother_education_level,0.0039760756318734545,0.001918918322740968
child_sex,0.002017364460736992,0.0034677694119507716
has_electricity,0.0015311595601003257,0.0007665283251421568
cooking_fuel,0.0013497974146247094,0.001026500456890359
household_members,0.0013328188307929478,0.0015174289285818424
religion,0.0006745128304071146,0.0024170861163805893
marital_status,0.0002732008489291893,0.0003731284019519108
mother_age,-0.0002353849122130436,0.0010863048293714773
urban_rural,-0.0004175188114991624,0.0005813586160716643
