Model,Type,ROC-AUC,F1-Score,Accuracy,Precision,Recall
Stacking (LR Meta),Ensemble,0.7699,0.6958,0.7097,0.7199,0.6732
Random Forest,Individual,0.7690,0.6969,0.7125,0.7256,0.6704
Bagging (RF Base),Ensemble,0.7677,0.6920,0.7069,0.7182,0.6676
Voting (Soft),Ensemble,0.7651,0.6863,0.7042,0.7191,0.6563
AdaBoost,Ensemble,0.7615,0.6895,0.7097,0.7296,0.6535
Extra Trees,Ensemble,0.7611,0.6899,0.7028,0.7104,0.6704
XGBoost,Individual,0.7535,0.6696,0.6875,0.6994,0.6423
LightGBM,Individual,0.7497,0.6804,0.6972,0.7095,0.6535
Stacking (XGB Meta),Ensemble,0.7455,0.6786,0.7014,0.7229,0.6394
Gradient Boosting,Individual,0.7437,0.6823,0.6986,0.7104,0.6563
Logistic Regression,Individual,0.7140,0.6594,0.6514,0.6361,0.6845
Voting (Hard),Ensemble,0.7064,0.6929,0.7069,0.7169,0.6704
